Id;Text;TitleName;PublishedAt;Experience;Currency;SalaryFrom;SalaryTo;Schedule;Url;Employer;Lat;Lon
49677432;ml;data engineer;2022-04-11;noExperience;RUR;200000.0;;fullDay;https://hh.ru/vacancy/49677432;Корпорация СИНЕРГИЯ;;
54615061;ml;machine learning engineer (computer vision);2022-04-06;noExperience;RUR;50000.0;300000.0;remote;https://hh.ru/vacancy/54615061;White & Fluffy;;
55132214;ml;стажер-разработчик python;2022-04-28;noExperience;RUR;20000.0;50000.0;fullDay;https://hh.ru/vacancy/55132214;Аналитические программные решения;55.796415;37.616584
54168093;ml;middle / senior qa-инженер в команду поиска;2022-04-21;noExperience;RUR;200000.0;;fullDay;https://hh.ru/vacancy/54168093;HeadHunter;55.809343;37.628505
54680345;ml;специалист службы эксплуатации / оператор торговой платформы;2022-04-22;noExperience;RUR;60000.0;;shift;https://hh.ru/vacancy/54680345;SPV Capital;55.678707;37.634631
55041422;ml;data scientist / ml разработчик;2022-04-28;between1And3;RUR;200000.0;350000.0;remote;https://hh.ru/vacancy/55041422;КИБЕР-РОМ;55.754948;37.561625
54925189;ml;data scientist/ml engineer (middle+);2022-04-28;between1And3;RUR;170000.0;240000.0;remote;https://hh.ru/vacancy/54925189;DIGINETICA;;
54583260;ml;deep learning/machine learning nlp engineer;2022-04-29;between1And3;RUR;100000.0;200000.0;fullDay;https://hh.ru/vacancy/54583260;НСК ЭкоСфера;55.769783;37.629565
54141419;ml;data scientist (computer vision);2022-04-28;between1And3;RUR;225000.0;;fullDay;https://hh.ru/vacancy/54141419;Гознак;;
54928773;ml;nlp developer;2022-04-28;between1And3;USD;3000.0;7000.0;remote;https://hh.ru/vacancy/54928773;Inca Digital;;
54978982;ml;python-разработчик;2022-04-30;between1And3;RUR;140000.0;;flexible;https://hh.ru/vacancy/54978982;ЭР СИ О;;
53426706;ml;go/golang-разработчик в цифровые поверхности салют (sberdevices);2022-05-01;between1And3;RUR;200000.0;400000.0;fullDay;https://hh.ru/vacancy/53426706;Сбербанк;55.741338;37.531127
54805844;ml;data аналитик (продуктовый аналитик);2022-04-29;between1And3;RUR;;120000.0;fullDay;https://hh.ru/vacancy/54805844;Loymax;;
54659157;ml;product analyst;2022-04-07;between1And3;USD;3000.0;5000.0;fullDay;https://hh.ru/vacancy/54659157;LATOKEN;;
54603415;ml;middle ml / data science разработчик;2022-04-05;between1And3;RUR;;170000.0;flexible;https://hh.ru/vacancy/54603415;Центр хранения и анализа больших данных;;
54961366;ml;ведущий инженер-программист/lead system architect;2022-04-29;between1And3;RUR;250000.0;;fullDay;https://hh.ru/vacancy/54961366;Ультрафиолет;55.812848;37.834875
49712580;ml;исследователь алгоритмов машинного обучения / researcher;2022-04-29;between1And3;RUR;100000.0;;fullDay;https://hh.ru/vacancy/49712580;ВижнЛабс (VisionLabs);55.755181;37.654529
52400488;ml;аналитик;2022-04-30;between1And3;RUR;125000.0;;fullDay;https://hh.ru/vacancy/52400488;Диджитал Лайн;;
53081472;ml;c# developer junior / middle (.net, full-stack / back-end);2022-04-29;between1And3;RUR;100000.0;220000.0;fullDay;https://hh.ru/vacancy/53081472;Mindbox;55.7906876572;37.5847012712
55052343;ml;ux|ui designer middle;2022-04-28;between1And3;RUR;90000.0;130000.0;fullDay;https://hh.ru/vacancy/55052343;МКСКОМ;;
54932440;ml;системный администратор / devops инженер;2022-04-28;between1And3;RUR;150000.0;250000.0;remote;https://hh.ru/vacancy/54932440;Инспектор Клауд;;
54616505;ml;младший специалист по контекстной рекламе/ppc/google.ads/яндекс.директ;2022-04-30;between1And3;RUR;45000.0;60000.0;remote;https://hh.ru/vacancy/54616505;Mego.travel;;
55153727;ml;инженер по эксплуатации (сервисные платформы);2022-04-29;between1And3;RUR;130000.0;160000.0;fullDay;https://hh.ru/vacancy/55153727;FunBox;;
54635482;ml;менеджер по работе с клиентами;2022-04-30;between1And3;RUR;45000.0;;remote;https://hh.ru/vacancy/54635482;CleanEngine;;
55093372;ml;python разработчик (junior);2022-04-27;between1And3;RUR;60000.0;90000.0;fullDay;https://hh.ru/vacancy/55093372;Лаборатория Наносемантика;55.709444;37.442302
51887092;ml;software engineer (computer vision systems);2022-04-26;between1And3;RUR;200000.0;;flexible;https://hh.ru/vacancy/51887092;Константа;55.785068;37.65558
53869086;ml;бизнес-аналитик;2022-04-25;between1And3;RUR;150000.0;200000.0;fullDay;https://hh.ru/vacancy/53869086;Проект;55.815858;37.527543
54448794;ml;программист;2022-04-29;between1And3;RUR;120000.0;240000.0;remote;https://hh.ru/vacancy/54448794;Кварта-Рад;55.612868;37.61512
54950250;ml;ведущий инженер по тестированию (qa dev);2022-04-20;between1And3;RUR;;230000.0;fullDay;https://hh.ru/vacancy/54950250;Экспириенс;;
54848144;ml;продуктовый аналитик;2022-04-15;between1And3;RUR;100000.0;;fullDay;https://hh.ru/vacancy/54848144;Диплей;;
54739828;ml;c++ разработчик;2022-04-11;between1And3;RUR;180000.0;230000.0;fullDay;https://hh.ru/vacancy/54739828;Прототайпс ЭдТех;55.757881;37.573016
54757755;ml;php-разработчик bitrix;2022-04-12;between1And3;RUR;;150000.0;fullDay;https://hh.ru/vacancy/54757755;AGIMA;55.764749;37.615354
54704069;ml;системный аналитик;2022-04-10;between1And3;RUR;140000.0;;fullDay;https://hh.ru/vacancy/54704069;КСК ЭКСПЕРТ;55.815858;37.527552
54739841;ml;devops инженер / инженер по эксплуатации;2022-04-11;between1And3;RUR;130000.0;150000.0;remote;https://hh.ru/vacancy/54739841;Прототайпс ЭдТех;55.757881;37.573016
54584741;ml;java developer (со знанием математики и алгоритмики);2022-04-05;between1And3;RUR;300000.0;;flexible;https://hh.ru/vacancy/54584741;SPV Capital;;
54570481;ml;product manager в playfair;2022-04-04;between1And3;RUR;220000.0;275000.0;fullDay;https://hh.ru/vacancy/54570481;Municorn;55.778461;37.585925
53554210;ml;senior android developer;2022-04-05;between1And3;RUR;200000.0;;fullDay;https://hh.ru/vacancy/53554210;Лоция;55.821644;37.499785
54571439;ml;customer success manager;2022-04-04;between1And3;RUR;100000.0;140000.0;fullDay;https://hh.ru/vacancy/54571439;Dbrain;55.737451;37.635485
54568601;ml;аккаунт-менеджер it (удаленно);2022-04-04;between1And3;RUR;;80000.0;remote;https://hh.ru/vacancy/54568601;КСК ЭКСПЕРТ;;
53635454;ml;php-разработчик / php developer (нси);2022-04-28;between1And3;RUR;150000.0;190000.0;flexible;https://hh.ru/vacancy/53635454;B2B-Center;55.789628;37.659326
55129175;ml;ml engineer;2022-04-28;between3And6;RUR;200000.0;350000.0;remote;https://hh.ru/vacancy/55129175;Dbrain;55.737451;37.635485
54687298;ml;ml & advanced analytics lead / lead data scientist;2022-04-29;between3And6;RUR;300000.0;400000.0;fullDay;https://hh.ru/vacancy/54687298;AppQuantum;55.708354;37.652705
51187368;ml;разработчик machine learning;2022-04-30;between3And6;RUR;200000.0;250000.0;fullDay;https://hh.ru/vacancy/51187368;Megaputer Intelligence, Компания;55.776198;37.675604
53926467;ml;data scientist;2022-04-29;between3And6;RUR;150000.0;250000.0;fullDay;https://hh.ru/vacancy/53926467;Бизнес Трэвел Джоб;;
55132598;ml;разработчик python;2022-04-28;between3And6;RUR;150000.0;250000.0;remote;https://hh.ru/vacancy/55132598;Гринатом;;
54709790;ml;senior ai-специалист/ data scientist;2022-04-29;between3And6;USD;;5000.0;fullDay;https://hh.ru/vacancy/54709790;Hoodies;;
53209019;ml;machine learning engineer (ml, infrastructure);2022-04-30;between3And6;EUR;3000.0;;remote;https://hh.ru/vacancy/53209019;Greenscreens.AI;;
54646332;ml;consumer lending - credit risk manager for a global fintech startup;2022-05-01;between3And6;RUR;;650000.0;fullDay;https://hh.ru/vacancy/54646332;Placid Money;40.714606;-74.0028
53809930;ml;machine learning engineer;2022-04-25;between3And6;RUR;300000.0;;fullDay;https://hh.ru/vacancy/53809930;НПО ПКРВ;55.78606;37.638871
55051085;ml;middle/senior data scientist;2022-04-25;between3And6;RUR;200000.0;;fullDay;https://hh.ru/vacancy/55051085;JuicyScore;;
54625207;ml;ml engineer;2022-04-30;between3And6;RUR;200000.0;300000.0;flexible;https://hh.ru/vacancy/54625207;Freedom International Group;;
54945186;ml;machine learning engineer (remote);2022-04-20;between3And6;RUR;300000.0;3000000.0;fullDay;https://hh.ru/vacancy/54945186;OQTACORE;;
54988471;ml;machine learning developer (ml remote);2022-04-21;between3And6;USD;1000.0;;fullDay;https://hh.ru/vacancy/54988471;Юнити,ООО;;
52421169;ml;lead data scientist;2022-04-18;between3And6;RUR;300000.0;;fullDay;https://hh.ru/vacancy/52421169;Дром;;
54802128;ml;senior ai/ml engineer;2022-04-13;between3And6;RUR;300000.0;350000.0;fullDay;https://hh.ru/vacancy/54802128;HRMNY Capital SIA;;
54825757;ml;senior data engineer;2022-04-14;between3And6;USD;5000.0;7000.0;fullDay;https://hh.ru/vacancy/54825757;Wanted;;
54825737;ml;senior python-разработчик в цифровые поверхности салют (intelligent search);2022-04-14;between3And6;RUR;200000.0;400000.0;fullDay;https://hh.ru/vacancy/54825737;Сбербанк;;
54716166;ml;руководитель направления data science;2022-04-11;between3And6;RUR;;300000.0;fullDay;https://hh.ru/vacancy/54716166;СберЛизинг;55.736174;37.533185
54524028;ml;senior qa automation engineer (ml);2022-04-01;between3And6;RUR;300000.0;;remote;https://hh.ru/vacancy/54524028;Агентство 21 век, КЦ;;
52219096;ml;senior big data инженер (scala, spark) (to riga);2022-04-09;between3And6;RUR;350000.0;;flexible;https://hh.ru/vacancy/52219096;Joom;55.787143;37.542383
54907122;ml;web product analyst;2022-04-19;between3And6;EUR;3500.0;;remote;https://hh.ru/vacancy/54907122;Wisebits;;
54997411;ml;senior python developer;2022-04-22;between3And6;USD;3000.0;;remote;https://hh.ru/vacancy/54997411;Hype Auditor;59.960134;30.325264
53802149;ml;с++ developer (isearch);2022-04-13;between3And6;RUR;200000.0;400000.0;fullDay;https://hh.ru/vacancy/53802149;Сбербанк;;
54572728;ml;системный аналитик;2022-04-29;between3And6;RUR;150000.0;200000.0;fullDay;https://hh.ru/vacancy/54572728;Проект;55.815858;37.527543
54802547;ml;senior python developer (латвия, рига);2022-04-28;between3And6;EUR;;4000.0;flexible;https://hh.ru/vacancy/54802547;Alex Staff Agency;;
54730773;ml;fullstack разработчик;2022-04-29;between3And6;RUR;200000.0;;fullDay;https://hh.ru/vacancy/54730773;KRK Group;;
54563184;ml;java-разработчик (backend developer) middle+ / senior;2022-04-28;between3And6;RUR;250000.0;;fullDay;https://hh.ru/vacancy/54563184;ОМНИДАТА;;
55152822;ml;инженер по развитию и внедрению сервисных платформ;2022-04-29;between3And6;RUR;;180000.0;fullDay;https://hh.ru/vacancy/55152822;FunBox;;
53180067;ml;ведущий android developer;2022-04-30;between3And6;RUR;300000.0;350000.0;remote;https://hh.ru/vacancy/53180067;Softline;;
55075947;ml;ведущий системный администратор;2022-04-29;between3And6;RUR;115000.0;230000.0;fullDay;https://hh.ru/vacancy/55075947;Тетрон;55.804805;37.566234
53925002;ml;бухгалтер;2022-04-28;between3And6;RUR;50000.0;70000.0;fullDay;https://hh.ru/vacancy/53925002;Проект;55.815858;37.527543
55102157;ml;senior product manager;2022-04-27;between3And6;USD;4000.0;;remote;https://hh.ru/vacancy/55102157;Hype Auditor;59.960134;30.325264
55078074;ml;бухгалтер;2022-04-29;between3And6;RUR;65000.0;70000.0;fullDay;https://hh.ru/vacancy/55078074;Тетрон;55.804805;37.566234
54893287;ml;руководитель\\архитектор проекта отдела цифровизации и автоматизации;2022-04-27;between3And6;RUR;;250000.0;fullDay;https://hh.ru/vacancy/54893287;Diamond Personnel R&C;;
54967665;ml;senior fullstack developer;2022-04-27;between3And6;RUR;300000.0;400000.0;remote;https://hh.ru/vacancy/54967665;Softline;;
55079097;ml;python teamlead;2022-04-26;between3And6;RUR;250000.0;;fullDay;https://hh.ru/vacancy/55079097;AGIMA;55.764749;37.615354
47497717;ml;руководитель продукта;2022-04-26;between3And6;RUR;200000.0;;fullDay;https://hh.ru/vacancy/47497717;РАБЛЗ;;
54286917;ml;юрист в сфере it;2022-04-26;between3And6;RUR;75000.0;150000.0;fullDay;https://hh.ru/vacancy/54286917;КСК ЭКСПЕРТ;55.815858;37.527552
50887233;ml;mlops / sre;2022-04-25;between3And6;RUR;300000.0;;flexible;https://hh.ru/vacancy/50887233;Сеть Партнерств;55.65015;37.539626
55037100;ml;аналитик;2022-04-25;between3And6;RUR;150000.0;;fullDay;https://hh.ru/vacancy/55037100;ВкусВилл;55.803691;37.403118
53869082;ml;маркетолог;2022-04-25;between3And6;RUR;100000.0;200000.0;fullDay;https://hh.ru/vacancy/53869082;Проект;55.815858;37.527543
54997380;ml;team lead go engineering;2022-04-22;between3And6;USD;4000.0;;remote;https://hh.ru/vacancy/54997380;Hype Auditor;;
55010715;ml;full stack developer (vue/php);2022-04-22;between3And6;USD;2000.0;;remote;https://hh.ru/vacancy/55010715;Hype Auditor;;
54985048;ml;разработчик (python, django) middle, удаленно;2022-04-21;between3And6;RUR;180000.0;220000.0;remote;https://hh.ru/vacancy/54985048;Лукавская Ирина Анатольевна;;
53995876;ml;senior qa engineer (python);2022-04-28;between3And6;EUR;3000.0;;fullDay;https://hh.ru/vacancy/53995876;Greenscreens.AI;;
54933640;ml;team lead development;2022-04-20;between3And6;USD;3000.0;;remote;https://hh.ru/vacancy/54933640;Hype Auditor;;
54928956;ml;разработчик ios;2022-04-19;between3And6;RUR;;350000.0;remote;https://hh.ru/vacancy/54928956;ГЛОБУС;;
54901503;ml;frontend-разработчик (vue + angular);2022-04-18;between3And6;RUR;;200000.0;fullDay;https://hh.ru/vacancy/54901503;AGIMA;55.764891;37.615425
55010141;ml;devops engineer;2022-04-22;between3And6;USD;3000.0;;remote;https://hh.ru/vacancy/55010141;Hype Auditor;;
54030363;ml;разработчик с++ (графические интерфейсы);2022-04-17;between3And6;RUR;200000.0;350000.0;fullDay;https://hh.ru/vacancy/54030363;Hunt For You;;
54858209;ml;devops инженер;2022-04-15;between3And6;RUR;;350000.0;fullDay;https://hh.ru/vacancy/54858209;oneFactor;55.74825;37.540829
54832946;ml;seo linkbuilder / pbn-менеджер (remote);2022-04-15;between3And6;EUR;1000.0;;remote;https://hh.ru/vacancy/54832946;Wisebits;34.6863047708;33.0337727474
54757471;ml;senior frontend react developer, remote;2022-04-12;between3And6;EUR;5000.0;6000.0;remote;https://hh.ru/vacancy/54757471;ГК «ВИЗАВИ Консалт»;;
54737154;ml;middle backend developer (mysql + kotlin);2022-04-11;between3And6;RUR;;224000.0;remote;https://hh.ru/vacancy/54737154;Skipp.pro;;
42849194;ml;middle/senior full stack разработчик .net;2022-04-28;between3And6;RUR;140000.0;250000.0;remote;https://hh.ru/vacancy/42849194;AB Test Real;;
54161418;ml;юрист;2022-04-11;between3And6;RUR;100000.0;150000.0;fullDay;https://hh.ru/vacancy/54161418;Проект;55.815858;37.527543
48724776;ml;инженер по практикам devops;2022-04-06;between3And6;RUR;350000.0;;flexible;https://hh.ru/vacancy/48724776;РАБЛЗ;;
54601675;ml;ведущий разработчик нейроных сетей;2022-04-05;between3And6;RUR;300000.0;350000.0;remote;https://hh.ru/vacancy/54601675;OMION;;
54625605;ml;c# разаработчик. winforms и wpf;2022-04-06;between3And6;RUR;100000.0;110000.0;fullDay;https://hh.ru/vacancy/54625605;Бизапс;;
54570526;ml;senior backend developer в playfair;2022-04-04;between3And6;RUR;300000.0;400000.0;fullDay;https://hh.ru/vacancy/54570526;Municorn;55.778461;37.585925
48138418;ml;devops-инженер;2022-04-04;between3And6;RUR;180000.0;;remote;https://hh.ru/vacancy/48138418;AGIMA;55.764749;37.615354
54523959;ml;senior backend engineer;2022-04-01;between3And6;RUR;200000.0;350000.0;fullDay;https://hh.ru/vacancy/54523959;Dbrain;;
54346666;ml;python developer 3 - ml infra (to canada/serbia);2022-04-30;moreThan6;USD;8500.0;;fullDay;https://hh.ru/vacancy/54346666;Behavox;;
